t_s,P_acc_pa,P_act_pa
6.600000000000000533e+00,1.612155119453020953e+07,1.612155157310261391e+07
6.650000000000000355e+00,1.612155112892540917e+07,1.612155170431221463e+07
6.700000000000000178e+00,1.612155106332060881e+07,1.612155183552181348e+07
6.750000000000000000e+00,1.612155099771581031e+07,1.612155196673141420e+07
6.800000000000000711e+00,1.612155093211100996e+07,1.612155209794101492e+07
6.850000000000000533e+00,1.612155086650620960e+07,1.612155222915061563e+07
6.900000000000000355e+00,1.612155080090140924e+07,1.612155236036021449e+07
6.950000000000000178e+00,1.612155073529660888e+07,1.612155249156981520e+07
7.000000000000000000e+00,1.612155066969180852e+07,1.612155262277941592e+07
7.050000000000000711e+00,1.612155060408700816e+07,1.612155275398901664e+07
7.100000000000000533e+00,1.612155053848220780e+07,1.612155288519861549e+07
7.150000000000000355e+00,1.612155047287740931e+07,1.612155301640821621e+07
7.200000000000000178e+00,1.612155040727260895e+07,1.612155314761781693e+07
7.250000000000000000e+00,1.612155034166780859e+07,1.612155327882741764e+07
7.300000000000000711e+00,1.612155027606300823e+07,1.612155341003701650e+07
7.350000000000000533e+00,1.612155021045820788e+07,1.612155354124661721e+07
7.400000000000000355e+00,1.612155014485340752e+07,1.612155367245621793e+07
7.450000000000000178e+00,1.612155007924860716e+07,1.612155380366581678e+07
7.500000000000000000e+00,1.612155001364380680e+07,1.612155393487541750e+07
7.550000000000000711e+00,1.612154994803900830e+07,1.612155406608501822e+07
7.600000000000000533e+00,1.612154988243420795e+07,1.612155419729461893e+07
7.650000000000000355e+00,1.612154981682940759e+07,1.612155432850421779e+07
7.700000000000000178e+00,1.612154975122460723e+07,1.612155445971381851e+07
7.750000000000000000e+00,1.612154968561980687e+07,1.612155459092341922e+07
7.800000000000000711e+00,1.612154962001500651e+07,1.612155472213301994e+07
7.850000000000000533e+00,1.612154955441020615e+07,1.612155485334261879e+07
7.900000000000000355e+00,1.612154948880540580e+07,1.612155498455221951e+07
7.950000000000000178e+00,1.612154942320060730e+07,1.612155511576182023e+07
8.000000000000000000e+00,1.612154935759580694e+07,1.612155524697142094e+07
8.050000000000000711e+00,1.612154929199100658e+07,1.612155537818101980e+07
8.099999999999999645e+00,1.612154922638620622e+07,1.612155550939062051e+07
8.150000000000000355e+00,1.612154916078140587e+07,1.612155564060022123e+07
8.200000000000001066e+00,1.612154909517660551e+07,1.612155577180982195e+07
8.250000000000000000e+00,1.612154902957180515e+07,1.612155590301942080e+07
8.300000000000000711e+00,1.612154896396700479e+07,1.612155603422902152e+07
8.349999999999999645e+00,1.612154889836220630e+07,1.612155616543862224e+07
8.400000000000000355e+00,1.612154883275740594e+07,1.612155629664822295e+07
8.450000000000001066e+00,1.612154876715260558e+07,1.612155642785782181e+07
8.500000000000000000e+00,1.612154870154780522e+07,1.612155655906742252e+07
8.550000000000000711e+00,1.612154863594300486e+07,1.612155669027702324e+07
8.599999999999999645e+00,1.612154857033820450e+07,1.612155682148662210e+07
8.650000000000000355e+00,1.612154850473340414e+07,1.612155695269622281e+07
8.700000000000001066e+00,1.612154843912860379e+07,1.612155708390582353e+07
8.750000000000000000e+00,1.612154837352380529e+07,1.612155721511542425e+07
8.800000000000000711e+00,1.612154830791900493e+07,1.612155734632502310e+07
8.849999999999999645e+00,1.612154824231420457e+07,1.612155747753462382e+07
8.900000000000000355e+00,1.612154817670940422e+07,1.612155760874422453e+07
8.950000000000001066e+00,1.612154811110460386e+07,1.612155773995382525e+07
9.000000000000000000e+00,1.612154804549980350e+07,1.612155787116342410e+07
9.050000000000000711e+00,1.612154797989500314e+07,1.612155800237302482e+07
9.099999999999999645e+00,1.612154791429020278e+07,1.612155813358262554e+07
9.150000000000000355e+00,1.612154784868540429e+07,1.612155826479222625e+07
9.200000000000001066e+00,1.612154778308060393e+07,1.612155839600182511e+07
9.250000000000000000e+00,1.612154771747580357e+07,1.612155852721142583e+07
9.300000000000000711e+00,1.612154765187100321e+07,1.612155865842102654e+07
9.349999999999999645e+00,1.612154758626620285e+07,1.612155878963062726e+07
9.400000000000000355e+00,1.612154752066140249e+07,1.612155892084022611e+07
9.450000000000001066e+00,1.612154745505660214e+07,1.612155905204982683e+07
9.500000000000000000e+00,1.612154738945180178e+07,1.612155918325942755e+07
9.550000000000000711e+00,1.612154732384700328e+07,1.612155931446902826e+07
9.600000000000001421e+00,1.612154725824220292e+07,1.612155944567862712e+07
9.650000000000000355e+00,1.612154719263740256e+07,1.612155957688822784e+07
9.700000000000001066e+00,1.612154712703260221e+07,1.612155970809782855e+07
9.750000000000000000e+00,1.612154706142780185e+07,1.612155983930742927e+07
9.800000000000000711e+00,1.612154699582300149e+07,1.612155997051702812e+07
9.850000000000001421e+00,1.612154693021820113e+07,1.612156010172662884e+07
9.900000000000000355e+00,1.612154686461340077e+07,1.612156023293622956e+07
9.950000000000001066e+00,1.612154679900860228e+07,1.612156036414582841e+07
1.000000000000000000e+01,1.612154673340380192e+07,1.612156049535542913e+07
1.005000000000000071e+01,1.612154666779900156e+07,1.612156062656502984e+07
1.010000000000000142e+01,1.612154660219420120e+07,1.612156075777463056e+07
1.015000000000000036e+01,1.612154653658940084e+07,1.612156088898422942e+07
1.020000000000000107e+01,1.612154647098460048e+07,1.612156102019383013e+07
1.025000000000000000e+01,1.612154640537980013e+07,1.612156115140343085e+07
1.030000000000000071e+01,1.612154633977499977e+07,1.612156128261303157e+07
1.035000000000000142e+01,1.612154627417020127e+07,1.612156141382263042e+07
1.040000000000000036e+01,1.612154620856540091e+07,1.612156154503223114e+07
1.045000000000000107e+01,1.612154614296060055e+07,1.612156167624183185e+07
1.050000000000000000e+01,1.612154607735580020e+07,1.612156180745143257e+07
1.055000000000000071e+01,1.612154601175099984e+07,1.612156193866103142e+07
1.060000000000000142e+01,1.612154594614619948e+07,1.612156206987063214e+07
1.065000000000000036e+01,1.612154588054139912e+07,1.612156220108023286e+07
1.070000000000000107e+01,1.612154581493659876e+07,1.612156233228983358e+07
1.075000000000000000e+01,1.612154574933180027e+07,1.612156246349943243e+07
1.080000000000000071e+01,1.612154568372699991e+07,1.612156259470903315e+07
1.085000000000000142e+01,1.612154561812219955e+07,1.612156272591863386e+07
1.090000000000000036e+01,1.612154555251739919e+07,1.612156285712823458e+07
1.095000000000000107e+01,1.612154548691259883e+07,1.612156298833783343e+07
1.100000000000000000e+01,1.612154542130779848e+07,1.612156311954743415e+07
1.105000000000000071e+01,1.612154535570299812e+07,1.612156325075703487e+07
1.110000000000000142e+01,1.612154529009819776e+07,1.612156338196663558e+07
1.115000000000000036e+01,1.612154522449339926e+07,1.612156351317623444e+07
1.120000000000000107e+01,1.612154515888859890e+07,1.612156364438583516e+07
1.125000000000000000e+01,1.612154509328379855e+07,1.612156377559543587e+07
1.130000000000000071e+01,1.612154502767899819e+07,1.612156390680503473e+07
1.135000000000000142e+01,1.612154496207419783e+07,1.612156403801463544e+07
1.140000000000000036e+01,1.612154489646939747e+07,1.612156416922423616e+07
1.145000000000000107e+01,1.612154483086459711e+07,1.612156430043383688e+07
1.150000000000000000e+01,1.612154476525979675e+07,1.612156443164343573e+07
1.155000000000000071e+01,1.612154469965499826e+07,1.612156456285303645e+07
1.160000000000000142e+01,1.612154463405019790e+07,1.612156469406263717e+07
1.165000000000000036e+01,1.612154456844539754e+07,1.612156482527223788e+07
1.170000000000000107e+01,1.612154450284059718e+07,1.612156495648183674e+07
1.175000000000000000e+01,1.612154443723579682e+07,1.612156508769143745e+07
1.180000000000000071e+01,1.612154437163099647e+07,1.612156521890103817e+07
1.185000000000000142e+01,1.612154430602619611e+07,1.612156535011063889e+07
1.190000000000000036e+01,1.612154424042139575e+07,1.612156548132023774e+07
1.195000000000000107e+01,1.612154417481659725e+07,1.612156561252983846e+07
1.200000000000000000e+01,1.612154410921179689e+07,1.612156574373943917e+07
1.205000000000000071e+01,1.612154404360699654e+07,1.612156587494903989e+07
1.210000000000000142e+01,1.612154397800219618e+07,1.612156600615863875e+07
1.215000000000000036e+01,1.612154391239739582e+07,1.612156613736823946e+07
1.220000000000000107e+01,1.612154384679259546e+07,1.612156626857784018e+07
1.225000000000000000e+01,1.612154378118779510e+07,1.612156639978744090e+07
1.230000000000000071e+01,1.612154371558299474e+07,1.612156653099703975e+07
1.235000000000000142e+01,1.612154364997819625e+07,1.612156666220664047e+07
1.240000000000000036e+01,1.612154358437339589e+07,1.612156679341624118e+07
1.245000000000000107e+01,1.612154351876859553e+07,1.612156692462584190e+07
1.250000000000000000e+01,1.612154345316379517e+07,1.612156705583544075e+07
1.255000000000000071e+01,1.612154338755899481e+07,1.612156718704504147e+07
